variant,start,len,thread,bits,spec,ours,theirs,ours_ok,theirs_ok,agree
u32,0,16,19,0xcccccccc,0x0000cccc,0x0000cccc,0x0000cccc,1,1,1
u32,0,16,20,0x00000100,0x00000100,0x00000100,0x00000100,1,1,1
u32,0,16,21,0x00000400,0x00000400,0x00000400,0x00000400,1,1,1
u32,0,16,22,0x40000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,16,23,0x20000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,16,24,0x01234567,0x00004567,0x00004567,0x00004567,1,1,1
u32,0,16,25,0x89abcdef,0x0000cdef,0x0000cdef,0x0000cdef,1,1,1
u32,0,16,26,0xfedcba98,0x0000ba98,0x0000ba98,0x0000ba98,1,1,1
u32,0,16,27,0x76543210,0x00003210,0x00003210,0x00003210,1,1,1
u32,0,16,28,0x3fffffff,0x0000ffff,0x0000ffff,0x0000ffff,1,1,1
u32,0,16,29,0xc0000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,16,30,0x20202020,0x00002020,0x00002020,0x00002020,1,1,1
u32,0,16,31,0xa5a5a5a5,0x0000a5a5,0x0000a5a5,0x0000a5a5,1,1,1
u32,0,23,0,0x00000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,23,1,0xffffffff,0x007fffff,0x007fffff,0x007fffff,1,1,1
u32,0,23,2,0xaaaaaaaa,0x002aaaaa,0x002aaaaa,0x002aaaaa,1,1,1
u32,0,23,3,0x55555555,0x00555555,0x00555555,0x00555555,1,1,1
u32,0,23,4,0x80000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,23,5,0x7fffffff,0x007fffff,0x007fffff,0x007fffff,1,1,1
u32,0,23,6,0x00000001,0x00000001,0x00000001,0x00000001,1,1,1
u32,0,23,7,0xfffffffe,0x007ffffe,0x007ffffe,0x007ffffe,1,1,1
u32,0,23,8,0xdeadbeef,0x002dbeef,0x002dbeef,0x002dbeef,1,1,1
u32,0,23,9,0xcafebabe,0x007ebabe,0x007ebabe,0x007ebabe,1,1,1
u32,0,23,10,0x12345678,0x00345678,0x00345678,0x00345678,1,1,1
u32,0,23,11,0x87654321,0x00654321,0x00654321,0x00654321,1,1,1
u32,0,23,12,0x000000ff,0x000000ff,0x000000ff,0x000000ff,1,1,1
u32,0,23,13,0xff000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,23,14,0x0f0f0f0f,0x000f0f0f,0x000f0f0f,0x000f0f0f,1,1,1
u32,0,23,15,0xf0f0f0f0,0x0070f0f0,0x0070f0f0,0x0070f0f0,1,1,1
u32,0,23,16,0x00ff00ff,0x007f00ff,0x007f00ff,0x007f00ff,1,1,1
u32,0,23,17,0xff00ff00,0x0000ff00,0x0000ff00,0x0000ff00,1,1,1
u32,0,23,18,0x33333333,0x00333333,0x00333333,0x00333333,1,1,1
u32,0,23,19,0xcccccccc,0x004ccccc,0x004ccccc,0x004ccccc,1,1,1
u32,0,23,20,0x00000100,0x00000100,0x00000100,0x00000100,1,1,1
u32,0,23,21,0x00000400,0x00000400,0x00000400,0x00000400,1,1,1
u32,0,23,22,0x40000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,23,23,0x20000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,23,24,0x01234567,0x00234567,0x00234567,0x00234567,1,1,1
u32,0,23,25,0x89abcdef,0x002bcdef,0x002bcdef,0x002bcdef,1,1,1
u32,0,23,26,0xfedcba98,0x005cba98,0x005cba98,0x005cba98,1,1,1
